constructorStandingsId,raceId,constructorId,points,position,positionText,wins
1,17,18,147,1,1,11
2,17,212,118,2,2,5
3,17,73,73,3,3,1
4,17,135,30,4,4,0
5,17,111,24,5,5,0
6,17,93,21,6,6,0
7,17,172,18,7,7,0
8,17,76,5,8,8,0
9,17,205,5,9,9,0
10,17,145,1,10,10,0
11,17,78,0,,-,0
12,17,153,0,,-,0
13,17,182,0,,-,0
14,33,212,175,1,1,12
15,33,73,70,2,2,3
16,33,18,68,3,3,0
17,33,135,49,4,4,0
18,33,93,22,5,5,0
19,33,111,15,6,6,1
20,33,172,11,7,7,0
21,33,205,5,8,8,0
22,33,76,1,9,9,0
23,33,145,0,,-,0
24,33,78,0,,-,0
25,50,212,123,1,1,8
26,50,73,102,2,2,5
27,50,18,67,3,3,1
28,50,135,63,4,4,3
29,50,93,33,5,5,0
30,50,161,21,6,6,0
31,50,172,16,7,7,0
32,50,10,9,8,8,0
33,50,189,6,9,9,0
34,50,205,2,10,10,0
35,50,145,0,,-,0
36,66,135,156,1,1,9
37,66,73,133,2,2,6
38,66,212,38,3,3,0
39,66,93,34,4,4,1
40,66,18,33,5,5,0
41,66,172,10,6,6,0
42,66,10,6,7,7,0
43,66,189,5,8,8,0
44,66,161,1,9,9,0
45,66,145,0,,-,0
46,66,205,0,,-,0
47,82,73,128,1,1,6
48,82,135,124,2,2,7
49,82,93,61,3,3,2
50,82,189,36,4,4,1
51,82,212,35,5,5,0
52,82,18,16,6,6,0
53,82,161,9,7,7,0
54,82,172,5,8,8,0
55,82,10,1,9,9,0
56,82,145,1,10,10,0
57,82,15,0,,-,0
58,99,73,170,1,1,10
59,99,135,162,2,2,7
60,99,212,36,3,3,0
61,99,18,20,4,4,0
62,99,15,20,5,5,0
63,99,93,17,6,6,0
64,99,10,7,7,7,0
65,99,172,6,8,8,0
66,99,91,4,9,9,0
67,99,145,0,,-,0
68,99,161,0,,-,0
69,116,73,179,1,1,9
70,116,135,102,2,2,4
71,116,212,80,3,3,4
72,116,172,21,4,4,0
73,116,93,19,5,5,0
74,116,15,17,6,6,0
75,116,18,10,7,7,0
76,116,91,9,8,8,0
77,116,161,4,9,9,0
78,116,10,1,10,10,0
79,116,145,0,,-,0
80,133,73,221,1,1,15
81,133,212,92,2,2,1
82,133,135,65,3,3,1
83,133,170,23,4,4,0
84,133,172,11,5,5,0
85,133,93,9,6,6,0
86,133,91,8,7,7,0
87,133,15,7,8,8,0
88,133,145,2,9,9,0
89,133,201,2,10,10,0
90,133,10,2,11,11,0
91,149,73,158,1,1,8
92,149,212,144,2,2,4
93,149,135,142,3,3,2
94,149,170,88,4,4,1
95,149,15,26,5,5,0
96,149,172,19,6,6,0
97,149,91,18,7,7,0
98,149,201,16,8,8,0
99,149,93,13,9,9,1
100,149,145,0,10,10,0
101,167,73,262,1,1,15
102,167,15,119,2,2,0
103,167,170,105,3,3,1
104,167,212,88,4,4,1
105,167,135,69,5,5,1
106,167,172,34,6,6,0
107,167,91,10,7,7,0
108,167,201,9,8,8,0
109,167,93,5,9,9,0
110,167,145,1,10,10,0
111,186,170,191,1,1,8
112,186,135,182,2,2,10
113,186,73,100,3,3,1
114,186,201,88,4,4,0
115,186,212,66,5,5,0
116,186,15,38,6,6,0
117,186,169,34,7,7,0
118,186,172,20,8,8,0
119,186,93,12,9,9,0
120,186,145,7,10,10,0
121,204,170,206,1,1,8
122,204,73,201,2,2,9
123,204,135,110,3,3,0
124,204,87,86,4,4,1
125,204,20,36,5,5,0
126,204,201,35,6,6,0
127,204,169,16,7,7,0
128,204,212,11,8,8,0
129,204,200,1,9,9,0
130,204,143,0,10,10,0
131,204,190,0,11,11,0
132,204,186,0,12,12,0
133,221,73,204,1,1,9
134,221,20,101,2,2,0
135,221,170,51,3,3,0
136,221,212,33,4,4,0
137,221,169,24,5,5,0
138,221,201,13,6,6,0
139,221,200,8,7,7,0
140,221,87,6,8,8,0
141,221,190,4,9,9,0
142,221,185,1,10,10,0
143,221,135,0,,E,8
144,239,73,172,1,1,8
145,239,135,151,2,2,6
146,239,20,135,3,3,1
147,239,170,80,4,4,2
148,239,201,56,5,5,0
149,239,200,39,6,6,1
150,239,169,29,7,7,0
151,239,212,26,8,8,0
152,239,87,14,9,9,0
153,239,77,0,10,10,0
154,239,190,0,11,11,0
