constructorId,constructorRef,name,nationality,url
1,adams,Adams,American,https://en.wikipedia.org/wiki/Adams_(constructor)
2,afm,AFM,German,https://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau
3,ags,AGS,French,https://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives
4,alfa,Alfa Romeo,Swiss,https://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One
5,alphatauri,AlphaTauri,Italian,https://en.wikipedia.org/wiki/Scuderia_AlphaTauri
6,alpine,Alpine F1 Team,French,https://en.wikipedia.org/wiki/Alpine_F1_Team
7,alta,Alta,British,https://en.wikipedia.org/wiki/Alta_Car_and_Engineering_Company
8,amon,Amon,New Zealander,https://en.wikipedia.org/wiki/Chris_Amon_Racing
9,apollon,Apollon,Swiss,https://en.wikipedia.org/wiki/Apollon_(Formula_One)
10,arrows,Arrows,British,https://en.wikipedia.org/wiki/Arrows_Grand_Prix_International
11,arzani-volpini,Arzani-Volpini,Italian,https://en.wikipedia.org/wiki/Arzani-Volpini
12,aston_martin,Aston Martin,British,https://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One
13,ats,ATS,Italian,https://en.wikipedia.org/wiki/ATS_Wheels
14,audi,Audi,German,https://en.wikipedia.org/wiki/Audi_in_Formula_One
15,bar,BAR,British,https://en.wikipedia.org/wiki/British_American_Racing
16,behra-porsche,Behra-Porsche,Italian,https://en.wikipedia.org/wiki/Behra-Porsche
17,bellasi,Bellasi,Swiss,https://en.wikipedia.org/wiki/Bellasi
18,benetton,Benetton,Italian,https://en.wikipedia.org/wiki/Benetton_Formula
19,bmw,BMW,German,https://en.wikipedia.org/wiki/BMW
20,bmw_sauber,BMW Sauber,German,https://en.wikipedia.org/wiki/BMW_in_Formula_One
21,boro,Boro,Dutch,https://en.wikipedia.org/wiki/Boro_(Formula_One)
22,brabham,Brabham,British,https://en.wikipedia.org/wiki/Brabham
23,brabham-alfa_romeo,Brabham-Alfa Romeo,British,https://en.wikipedia.org/wiki/Brabham
24,brabham-brm,Brabham-BRM,British,https://en.wikipedia.org/wiki/Brabham
25,brabham-climax,Brabham-Climax,British,https://en.wikipedia.org/wiki/Brabham
26,brabham-ford,Brabham-Ford,British,https://en.wikipedia.org/wiki/Brabham
27,brabham-repco,Brabham-Repco,British,https://en.wikipedia.org/wiki/Brabham
28,brawn,Brawn,British,https://en.wikipedia.org/wiki/Brawn_GP
29,brm,BRM,British,https://en.wikipedia.org/wiki/British_Racing_Motors
30,brm-ford,BRM-Ford,British,https://en.wikipedia.org/wiki/British_Racing_Motors
31,bromme,Bromme,American,https://en.wikipedia.org/wiki/Bromme
32,brp,BRP,British,https://en.wikipedia.org/wiki/British_Racing_Partnership
33,bugatti,Bugatti,French,https://en.wikipedia.org/wiki/Bugatti
34,butterworth,Aston Butterworth,British,https://en.wikipedia.org/wiki/Aston_Butterworth
35,cadillac,Cadillac F1 Team,American,https://en.wikipedia.org/wiki/Cadillac_in_Formula_One
36,caterham,Caterham,Malaysian,https://en.wikipedia.org/wiki/Caterham_F1
37,cisitalia,Cisitalia,Italian,https://en.wikipedia.org/wiki/Cisitalia
38,coloni,Coloni,Italian,https://en.wikipedia.org/wiki/Scuderia_Coloni
39,connaught,Connaught,British,https://en.wikipedia.org/wiki/Connaught_Engineering
40,connew,Connew,British,https://en.wikipedia.org/wiki/Connew
41,cooper,Cooper,British,https://en.wikipedia.org/wiki/Cooper_Car_Company
42,cooper-alfa_romeo,Cooper-Alfa Romeo,British,https://en.wikipedia.org/wiki/Cooper_Car_Company
43,cooper-ats,Cooper-ATS,British,https://en.wikipedia.org/wiki/Cooper_Car_Company
44,cooper-borgward,Cooper-Borgward,British,https://en.wikipedia.org/wiki/Cooper_Car_Company
45,cooper-brm,Cooper-BRM,British,https://en.wikipedia.org/wiki/Cooper_Car_Company
46,cooper-castellotti,Cooper-Castellotti,British,https://en.wikipedia.org/wiki/Cooper_Car_Company
47,cooper-climax,Cooper-Climax,British,https://en.wikipedia.org/wiki/Cooper_Car_Company
48,cooper-ferrari,Cooper-Ferrari,British,https://en.wikipedia.org/wiki/Cooper_Car_Company
49,cooper-ford,Cooper-Ford,British,https://en.wikipedia.org/wiki/Cooper_Car_Company
