driverStandingsId,raceId,driverId,points,position,positionText,wins
1,17,696,102,1,1,9
2,17,361,69,2,2,4
3,17,183,49,3,3,1
4,17,354,45,4,4,2
5,17,13,42,5,5,1
6,17,73,31,6,6,0
7,17,376,17,7,7,0
8,17,577,16,8,8,0
9,17,274,15,9,9,0
10,17,91,13,10,10,0
11,17,53,11,11,11,0
12,17,383,10,12,12,0
13,17,127,7,13,13,0
14,17,533,5,14,14,0
15,17,674,5,15,15,0
16,17,103,3,16,16,0
17,17,748,1,17,17,0
18,17,430,1,18,18,0
19,17,497,0,,-,0
20,17,402,0,,-,0
21,17,206,0,,-,0
22,17,579,0,,-,0
23,17,41,0,,-,0
24,17,381,0,,-,0
25,17,530,0,,-,0
26,17,281,0,,-,0
27,17,688,0,,-,0
28,17,815,0,,-,0
29,17,487,0,,-,0
30,17,482,0,,-,0
31,17,791,0,,-,0
32,17,534,0,,-,0
33,17,757,0,,-,0
34,17,224,0,,-,0
35,17,442,0,,-,0
36,33,361,97,1,1,8
37,33,796,78,2,2,4
38,33,696,59,3,3,3
39,33,13,47,4,4,0
40,33,376,31,5,5,0
41,33,73,21,6,6,0
42,33,183,18,7,7,0
43,33,53,14,8,8,0
44,33,577,13,9,9,1
45,33,383,11,10,10,0
46,33,127,8,11,11,0
47,33,274,7,12,12,0
48,33,674,5,13,13,0
49,33,354,4,14,14,0
50,33,206,2,15,15,0
51,33,791,1,16,16,0
52,33,402,0,,-,0
53,33,659,0,,-,0
54,33,250,0,,-,0
55,33,430,0,,-,0
56,33,41,0,,-,0
57,33,442,0,,-,0
58,33,530,0,,-,0
59,33,493,0,,-,0
60,50,796,81,1,1,7
61,50,274,42,2,2,1
62,50,183,36,3,3,2
63,50,13,36,4,4,0
64,50,73,27,5,5,1
65,50,376,27,6,6,1
66,50,383,24,7,7,0
67,50,250,20,8,8,0
68,50,577,16,9,9,0
69,50,354,15,10,10,0
70,50,697,13,11,11,0
71,50,361,7,12,12,0
72,50,53,6,13,13,0
73,50,837,4,14,14,0
74,50,778,3,15,15,0
75,50,206,2,16,16,0
76,50,674,2,17,17,0
77,50,544,2,18,18,0
78,50,434,1,19,19,0
79,50,696,78,,D,5
80,50,482,0,,-,0
81,50,791,0,,-,0
82,50,533,0,,-,0
83,50,264,0,,-,0
84,50,402,0,,-,0
85,50,493,0,,-,0
86,66,376,100,1,1,8
87,66,696,86,2,2,6
88,66,183,56,3,3,1
89,66,383,47,4,4,0
90,66,796,21,5,5,0
91,66,361,20,6,6,1
92,66,274,17,7,7,0
93,66,837,17,8,8,0
94,66,250,16,9,9,0
95,66,697,14,10,10,0
96,66,13,9,11,11,0
97,66,53,4,12,12,0
98,66,674,3,13,13,0
99,66,206,3,14,14,0
100,66,354,1,15,15,0
101,66,778,1,16,16,0
102,66,482,1,17,17,0
103,66,544,0,,-,0
104,66,780,0,,-,0
105,66,659,0,,-,0
106,66,752,0,,-,0
107,66,577,0,,-,0
108,66,791,0,,-,0
109,82,376,76,1,1,5
110,82,383,74,2,2,4
111,82,274,54,3,3,2
112,82,183,48,4,4,2
113,82,696,44,5,5,2
114,82,697,35,6,6,0
115,82,53,21,7,7,0
116,82,354,15,8,8,1
117,82,250,13,9,9,0
118,82,674,10,10,10,0
119,82,778,7,11,11,0
120,82,361,7,12,12,0
121,82,837,3,13,13,0
122,82,206,3,14,14,0
123,82,13,2,15,15,0
124,82,577,2,16,16,0
125,82,293,1,17,17,0
126,82,867,1,18,18,0
127,82,840,0,,-,0
128,82,752,0,,-,0
129,82,796,0,,-,0
130,82,843,0,,-,0
131,82,41,0,,-,0
132,82,678,0,,-,0
133,99,696,108,1,1,9
134,99,376,89,2,2,4
135,99,183,73,3,3,3
136,99,53,62,4,4,1
137,99,697,24,5,5,0
138,99,250,18,6,6,0
139,99,796,17,7,7,0
140,99,138,12,8,8,0
141,99,274,11,9,9,0
142,99,778,6,10,10,0
143,99,674,6,11,11,0
144,99,791,5,12,12,0
145,99,383,4,13,13,0
146,99,843,3,14,14,0
147,99,837,2,15,15,0
148,99,867,2,16,16,0
149,99,354,0,,-,0
150,99,206,0,,-,0
151,99,293,0,,-,0
152,99,350,0,,-,0
153,99,505,0,,-,0
154,99,13,0,,-,0
155,99,136,0,,-,0
156,116,696,123,1,1,9
157,116,183,65,2,2,2
158,116,53,56,3,3,0
159,116,697,49,4,4,3
160,116,376,37,5,5,2
161,116,570,31,6,6,1
162,116,796,12,7,7,0
163,116,350,12,8,8,0
164,116,778,12,9,9,0
165,116,669,9,10,10,0
166,116,250,8,11,11,0
167,116,383,6,12,12,0
168,116,274,6,13,13,0
169,116,577,5,14,14,0
170,116,13,5,15,15,0
171,116,867,3,16,16,0
172,116,138,2,17,17,0
173,116,791,1,18,18,0
174,116,843,0,,-,0
175,116,136,0,,-,0
176,116,75,0,,-,0
177,116,493,0,,-,0
178,116,17,0,,-,0
179,116,232,0,,-,0
180,116,505,0,,-,0
181,116,839,0,,-,0
182,133,696,144,1,1,11
183,133,53,77,2,2,4
184,133,570,50,3,3,0
185,133,697,42,4,4,1
186,133,183,41,5,5,1
187,133,669,24,6,6,0
188,133,138,14,7,7,0
189,133,778,9,8,8,0
190,133,383,8,9,9,0
191,133,350,7,10,10,0
192,133,250,7,11,11,0
193,133,796,4,12,12,0
194,133,500,4,13,13,0
195,133,577,3,14,14,0
196,133,679,2,15,15,0
197,133,811,2,16,16,0
198,133,674,2,17,17,0
199,133,274,2,18,18,0
200,133,513,0,19,19,0
201,133,839,0,20,20,0
202,133,867,0,21,21,0
203,133,75,0,22,22,0
204,133,201,0,,-,0
205,149,696,93,1,1,6
206,149,669,91,2,2,1
207,149,570,82,3,3,2
208,149,53,65,4,4,2
209,149,697,58,5,5,2
210,149,17,55,6,6,1
211,149,183,51,7,7,1
212,149,778,33,8,8,0
213,149,138,17,9,9,0
214,149,811,17,10,10,0
215,149,274,13,11,11,0
216,149,250,12,12,12,1
217,149,848,10,13,13,0
218,149,350,6,14,14,0
219,149,577,6,15,15,0
220,149,796,6,16,16,0
221,149,293,4,17,17,0
222,149,679,3,18,18,0
223,149,247,1,19,19,0
224,149,831,1,20,20,0
225,149,608,0,21,21,0
226,149,791,0,22,22,0
227,149,411,0,23,23,0
228,149,58,0,24,24,0
229,167,696,148,1,1,13
230,167,53,114,2,2,2
231,167,138,85,3,3,0
232,167,17,59,4,4,0
233,167,570,58,5,5,1
234,167,778,46,6,6,1
235,167,669,45,7,7,1
236,167,679,34,8,8,0
237,167,697,24,9,9,0
238,167,183,24,10,10,0
239,167,250,22,11,11,0
240,167,500,12,12,12,0
241,167,811,7,13,13,0
242,167,577,6,14,14,0
243,167,608,6,15,15,0
244,167,415,3,16,16,0
245,167,848,3,17,17,0
246,167,350,3,18,18,0
247,167,304,2,19,19,0
248,167,58,1,20,20,0
249,167,796,0,21,21,0
250,167,843,0,22,22,0
251,167,293,0,23,23,0
252,167,578,0,24,24,0
253,167,128,0,25,25,0
254,186,17,133,1,1,7
255,186,669,112,2,2,7
256,186,696,62,3,3,1
257,186,570,60,4,4,3
258,186,250,58,5,5,1
259,186,697,45,6,6,0
260,186,778,43,7,7,0
261,186,53,38,8,8,0
262,186,138,37,9,9,0
263,186,811,36,10,10,0
264,186,350,28,11,11,0
265,186,183,24,12,12,0
266,186,500,11,13,13,0
267,186,796,9,14,14,0
268,186,415,9,15,15,0
269,186,529,7,16,16,0
270,186,837,6,17,17,0
271,186,401,5,18,18,0
272,186,10,4,19,19,0
273,186,867,4,20,20,0
274,186,275,3,21,21,0
275,186,608,2,22,22,0
276,186,679,1,23,23,0
277,186,461,1,24,24,0
278,186,213,0,25,25,0
279,186,843,0,,-,0
280,186,201,0,,-,0
281,204,17,134,1,1,7
282,204,696,121,2,2,7
283,204,500,80,3,3,2
284,204,250,72,4,4,1
285,204,669,65,5,5,0
286,204,138,56,6,6,1
287,204,53,30,7,7,0
288,204,570,26,8,8,0
289,204,350,23,9,9,0
290,204,697,20,10,10,0
291,204,867,19,11,11,0
292,204,778,15,12,12,0
293,204,183,14,13,13,0
294,204,811,7,14,14,0
295,204,796,7,15,15,0
296,204,423,6,16,16,0
