resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
1,1,696,18,1,2,1,1,1,10,71,1:38:34.154,5914154,\N,\N,\N,\N,Finished
2,1,183,212,6,3,2,2,2,6,71,+11.060,5925214,\N,\N,\N,\N,Finished
3,1,73,73,28,5,3,3,3,4,70,\N,\N,\N,\N,\N,\N,+1 Lap
4,1,376,135,8,7,4,4,4,3,70,\N,\N,\N,\N,\N,\N,+1 Lap
5,1,13,73,27,6,5,5,5,2,70,\N,\N,\N,\N,\N,\N,+1 Lap
6,1,91,135,7,9,6,6,6,1,70,\N,\N,\N,\N,\N,\N,+1 Lap
7,1,674,205,4,12,7,7,7,0,69,\N,\N,\N,\N,\N,\N,+2 Laps
8,1,748,111,25,15,8,8,8,0,69,\N,\N,\N,\N,\N,\N,+2 Laps
9,1,530,153,17,22,9,9,9,0,65,\N,\N,\N,\N,\N,\N,+6 Laps
10,1,206,78,21,25,10,10,10,0,64,\N,\N,\N,\N,\N,\N,+7 Laps
11,1,533,76,9,13,11,R,11,0,62,\N,\N,\N,\N,\N,\N,Engine
12,1,381,76,10,21,12,R,12,0,48,\N,\N,\N,\N,\N,\N,Engine
13,1,41,145,24,18,13,R,13,0,47,\N,\N,\N,\N,\N,\N,Engine
14,1,534,78,22,23,14,R,14,0,47,\N,\N,\N,\N,\N,\N,Spun off
15,1,815,172,29,19,15,R,15,0,41,\N,\N,\N,\N,\N,\N,Electrical
16,1,361,212,5,1,16,R,16,0,30,\N,\N,\N,\N,\N,\N,Gearbox
17,1,354,18,2,4,17,R,17,0,30,\N,\N,\N,\N,\N,\N,Collision
18,1,281,153,16,20,18,R,18,0,23,\N,\N,\N,\N,\N,\N,Gearbox
19,1,53,93,14,16,19,R,19,0,16,\N,\N,\N,\N,\N,\N,Gearbox
20,1,791,182,12,24,20,R,20,0,16,\N,\N,\N,\N,\N,\N,Gearbox
21,1,402,205,3,11,21,R,21,0,15,\N,\N,\N,\N,\N,\N,Spun off
22,1,383,93,15,8,22,R,22,0,15,\N,\N,\N,\N,\N,\N,Clutch
23,1,688,182,11,26,23,R,23,0,12,\N,\N,\N,\N,\N,\N,Steering
24,1,274,172,30,14,24,R,24,0,10,\N,\N,\N,\N,\N,\N,Electrical
25,1,577,111,26,10,25,R,25,0,0,\N,\N,\N,\N,\N,\N,Collision
26,1,497,145,23,17,26,R,26,0,0,\N,\N,\N,\N,\N,\N,Gearbox
27,2,361,212,5,2,1,1,1,10,72,1:53:14.532,6794532,\N,\N,\N,\N,Finished
28,2,13,73,27,6,2,2,2,6,72,+6.407,6800939,\N,\N,\N,\N,Finished
29,2,696,18,1,3,3,3,3,4,72,+33.376,6827908,\N,\N,\N,\N,Finished
30,2,354,18,2,11,4,4,4,3,71,\N,\N,\N,\N,\N,\N,+1 Lap
31,2,274,172,30,9,5,5,5,2,70,\N,\N,\N,\N,\N,\N,+2 Laps
32,2,73,73,28,8,6,6,6,1,70,\N,\N,\N,\N,\N,\N,+2 Laps
33,2,577,111,26,18,7,7,7,0,70,\N,\N,\N,\N,\N,\N,+2 Laps
34,2,402,205,3,15,8,8,8,0,69,\N,\N,\N,\N,\N,\N,+3 Laps
35,2,688,182,11,20,9,9,9,0,68,\N,\N,\N,\N,\N,\N,+4 Laps
36,2,206,78,21,25,10,R,10,0,63,\N,\N,\N,\N,\N,\N,Not classified
37,2,534,78,22,24,11,R,11,0,63,\N,\N,\N,\N,\N,\N,Not classified
38,2,674,205,4,7,12,R,12,0,48,\N,\N,\N,\N,\N,\N,Collision
39,2,748,111,25,19,13,R,13,0,47,\N,\N,\N,\N,\N,\N,Collision
40,2,497,145,23,16,14,R,14,0,44,\N,\N,\N,\N,\N,\N,Spun off
41,2,533,76,9,12,15,R,15,0,43,\N,\N,\N,\N,\N,\N,Electrical
42,2,381,76,10,26,16,R,16,0,40,\N,\N,\N,\N,\N,\N,Spun off
43,2,53,93,14,10,17,R,17,0,33,\N,\N,\N,\N,\N,\N,Oil pressure
44,2,791,182,12,14,18,R,18,0,23,\N,\N,\N,\N,\N,\N,Gearbox
45,2,183,212,6,1,19,R,19,0,16,\N,\N,\N,\N,\N,\N,Electrical
46,2,91,135,7,17,20,R,20,0,9,\N,\N,\N,\N,\N,\N,Oil leak
47,2,383,93,15,4,21,R,21,0,6,\N,\N,\N,\N,\N,\N,Engine
48,2,530,153,17,22,22,R,22,0,1,\N,\N,\N,\N,\N,\N,Collision
49,2,376,135,8,5,23,R,23,0,0,\N,\N,\N,\N,\N,\N,Collision
50,2,281,153,16,23,24,R,24,0,0,\N,\N,\N,\N,\N,\N,Collision
51,2,815,172,29,21,25,R,25,0,0,\N,\N,\N,\N,\N,\N,Collision
52,2,41,145,24,13,26,R,26,0,0,\N,\N,\N,\N,\N,\N,Collision
53,3,361,212,5,4,1,1,1,10,63,1:41:42.522,6102522,\N,\N,\N,\N,Finished
54,3,13,73,27,5,2,2,2,6,63,+18.510,6121032,\N,\N,\N,\N,Finished
55,3,73,73,28,2,3,3,3,4,63,+43.116,6145638,\N,\N,\N,\N,Finished
56,3,183,212,6,3,4,4,4,3,63,+51.890,6154412,\N,\N,\N,\N,Finished
57,3,376,135,8,6,5,5,5,2,62,\N,\N,\N,\N,\N,\N,+1 Lap
58,3,274,172,30,14,6,6,6,1,62,\N,\N,\N,\N,\N,\N,+1 Lap
59,3,354,18,2,8,7,7,7,0,61,\N,\N,\N,\N,\N,\N,+2 Laps
60,3,383,93,15,7,8,8,8,0,61,\N,\N,\N,\N,\N,\N,+2 Laps
61,3,577,111,26,12,9,9,9,0,61,\N,\N,\N,\N,\N,\N,+2 Laps
62,3,487,135,7,9,10,10,10,0,61,\N,\N,\N,\N,\N,\N,+2 Laps
63,3,748,111,25,16,11,11,11,0,60,\N,\N,\N,\N,\N,\N,+3 Laps
64,3,497,145,23,18,12,12,12,0,59,\N,\N,\N,\N,\N,\N,+4 Laps
65,3,533,76,9,11,13,13,13,0,59,\N,\N,\N,\N,\N,\N,+4 Laps
66,3,41,145,24,20,14,14,14,0,59,\N,\N,\N,\N,\N,\N,+4 Laps
67,3,206,78,21,26,15,R,15,0,56,\N,\N,\N,\N,\N,\N,Not classified
68,3,534,78,22,25,16,R,16,0,56,\N,\N,\N,\N,\N,\N,Not classified
69,3,815,172,29,21,17,R,17,0,43,\N,\N,\N,\N,\N,\N,Wheel
70,3,281,153,16,22,18,R,18,0,36,\N,\N,\N,\N,\N,\N,Gearbox
71,3,688,182,11,23,19,R,19,0,35,\N,\N,\N,\N,\N,\N,Suspension
72,3,53,93,14,10,20,R,20,0,31,\N,\N,\N,\N,\N,\N,Transmission
73,3,402,205,3,15,21,R,21,0,23,\N,\N,\N,\N,\N,\N,Spun off
74,3,674,205,4,13,22,R,22,0,19,\N,\N,\N,\N,\N,\N,Engine
75,3,530,153,17,24,23,R,23,0,15,\N,\N,\N,\N,\N,\N,Gearbox
76,3,791,182,12,17,24,R,24,0,14,\N,\N,\N,\N,\N,\N,Gearbox
77,3,381,76,10,19,25,R,25,0,12,\N,\N,\N,\N,\N,\N,Spun off
78,3,696,18,1,1,26,R,26,0,10,\N,\N,\N,\N,\N,\N,Spun off
79,4,696,18,1,1,1,1,1,10,65,1:34:20.507,5660507,\N,\N,\N,\N,Finished
80,4,354,18,2,7,2,2,2,6,65,+51.988,5712495,\N,\N,\N,\N,Finished
81,4,73,73,28,3,3,3,3,4,65,+1:05.237,5725744,\N,\N,\N,\N,Finished
82,4,361,212,5,5,4,4,4,3,65,+2:01.749,5782256,\N,\N,\N,\N,Finished
83,4,383,93,15,6,5,5,5,2,64,\N,\N,\N,\N,\N,\N,+1 Lap
84,4,577,111,26,15,6,6,6,1,64,\N,\N,\N,\N,\N,\N,+1 Lap
85,4,53,93,14,8,7,7,7,0,64,\N,\N,\N,\N,\N,\N,+1 Lap
86,4,274,172,30,12,8,8,8,0,64,\N,\N,\N,\N,\N,\N,+1 Lap
87,4,127,111,25,11,9,9,9,0,64,\N,\N,\N,\N,\N,\N,+1 Lap
88,4,674,205,4,13,10,10,10,0,64,\N,\N,\N,\N,\N,\N,+1 Lap
89,4,533,76,9,14,11,11,11,0,63,\N,\N,\N,\N,\N,\N,+2 Laps
90,4,791,182,12,16,12,12,12,0,63,\N,\N,\N,\N,\N,\N,+2 Laps
